               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.049623,            0.085583,            0.041755,             0.31509,             0.67414,             0.49288,             0.26303,            0.039017,             0.17574,            0.039857,            0.007195,            0.007195,            0.007195
                  87,            0.042185,            0.081038,            0.042118,              0.4172,             0.60157,             0.50453,             0.28739,            0.035994,             0.17294,            0.039783,            0.007162,            0.007162,            0.007162
                  88,            0.041375,            0.087029,            0.041365,              0.3249,             0.65077,             0.46803,             0.24838,            0.041749,             0.18403,            0.039781,            0.007129,            0.007129,            0.007129
                  89,            0.046242,            0.084553,            0.042096,             0.34833,             0.67117,             0.48557,             0.25705,            0.037174,             0.17288,            0.039656,            0.007096,            0.007096,            0.007096
                  90,            0.041014,             0.08726,            0.040921,             0.35818,             0.68017,             0.49983,             0.27555,            0.035755,             0.17114,            0.039659,            0.007063,            0.007063,            0.007063
                  91,             0.04287,            0.086294,            0.040271,             0.30586,             0.66982,             0.47448,             0.25987,            0.042304,             0.17311,            0.039537,             0.00703,             0.00703,             0.00703
                  92,            0.048497,            0.089834,            0.042001,              0.2904,             0.70705,             0.48913,             0.25377,            0.040772,             0.17119,            0.039391,            0.006997,            0.006997,            0.006997
                  93,            0.043294,            0.081217,            0.040012,             0.31662,             0.68417,             0.51432,             0.28921,            0.037621,              0.1708,            0.039381,            0.006964,            0.006964,            0.006964
                  94,            0.041863,            0.080478,            0.039826,             0.29754,             0.75497,             0.51564,             0.29755,             0.03926,             0.17203,            0.039282,            0.006931,            0.006931,            0.006931
                  95,            0.043093,            0.081879,            0.039647,             0.34297,             0.68182,             0.51248,             0.27823,            0.036753,             0.17328,            0.039261,            0.006898,            0.006898,            0.006898
                  96,            0.040276,             0.08219,            0.040157,             0.36763,             0.68439,               0.515,             0.28517,            0.034727,             0.17037,            0.039177,            0.006865,            0.006865,            0.006865
                  97,            0.041221,             0.08545,            0.040092,             0.29725,             0.66566,             0.49417,             0.26088,            0.044339,             0.17405,            0.038963,            0.006832,            0.006832,            0.006832
                  98,            0.045938,            0.085168,            0.040918,               0.364,             0.66984,             0.52749,             0.28397,            0.036128,             0.17376,            0.038809,            0.006799,            0.006799,            0.006799
                  99,            0.039906,            0.085214,            0.039693,              0.3862,             0.65455,              0.5323,             0.30214,              0.0343,             0.16978,            0.038725,            0.006766,            0.006766,            0.006766
                 100,            0.041669,            0.079519,            0.039296,             0.30519,             0.67475,             0.50845,             0.27739,             0.04253,             0.17395,             0.03858,            0.006733,            0.006733,            0.006733
                 101,            0.044949,            0.089771,            0.040347,             0.34805,             0.65545,             0.54845,             0.31343,            0.035929,             0.17053,             0.03851,              0.0067,              0.0067,              0.0067
                 102,             0.04044,            0.085415,            0.039969,             0.39008,             0.64045,             0.53838,             0.31246,            0.034814,             0.16887,             0.03847,            0.006667,            0.006667,            0.006667
                 103,            0.042356,            0.085862,            0.040097,              0.3476,             0.66992,              0.5537,             0.29924,            0.039443,             0.17252,            0.038295,            0.006634,            0.006634,            0.006634
                 104,             0.04315,             0.08809,            0.039854,             0.36985,             0.65536,             0.53682,             0.30025,            0.035724,             0.17253,            0.038351,            0.006601,            0.006601,            0.006601
                 105,            0.041148,            0.091714,            0.039446,             0.37684,             0.65455,             0.53425,             0.29668,            0.035633,             0.17161,            0.038264,            0.006568,            0.006568,            0.006568
                 106,            0.043122,            0.077458,            0.039088,             0.35323,             0.65455,             0.54133,             0.28825,            0.041362,             0.17644,             0.03813,            0.006535,            0.006535,            0.006535
                 107,             0.04295,            0.083825,            0.038372,              0.3951,             0.65455,             0.53846,             0.29699,            0.034927,              0.1729,            0.038074,            0.006502,            0.006502,            0.006502
                 108,             0.03855,            0.080835,            0.038915,             0.40517,             0.62631,             0.54635,             0.31239,            0.035297,             0.17076,            0.037999,            0.006469,            0.006469,            0.006469
                 109,            0.041872,            0.078937,             0.03965,             0.33912,             0.64343,             0.51571,             0.25391,            0.041683,             0.18035,            0.038002,            0.006436,            0.006436,            0.006436
                 110,            0.043337,            0.080946,            0.037425,             0.40517,             0.62934,             0.56249,             0.31959,            0.035542,             0.16954,            0.037994,            0.006403,            0.006403,            0.006403
                 111,            0.039267,            0.080775,            0.038169,             0.38953,             0.64343,             0.54858,             0.30803,            0.036756,             0.17112,            0.037944,             0.00637,             0.00637,             0.00637
                 112,              0.0422,            0.086411,            0.039128,             0.34702,             0.63434,             0.55487,              0.2986,            0.039472,             0.17348,             0.03782,            0.006337,            0.006337,            0.006337
                 113,            0.042978,             0.08323,            0.039141,             0.37205,             0.64045,             0.55874,             0.32431,            0.034991,             0.17079,            0.037703,            0.006304,            0.006304,            0.006304
                 114,            0.040311,             0.08501,            0.038316,             0.33699,             0.65657,             0.53847,             0.28349,            0.039612,             0.17847,            0.037604,            0.006271,            0.006271,            0.006271
