               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.038876,            0.087978,            0.035706,             0.62761,             0.62693,             0.68444,             0.38737,            0.036987,             0.18396,            0.033772,           0.0070053,           0.0070053,           0.0070053
                 123,            0.039255,            0.087039,            0.036603,             0.66676,             0.59987,             0.67536,             0.39553,            0.033949,             0.17295,            0.033406,           0.0069805,           0.0069805,           0.0069805
                 124,            0.041466,            0.091086,            0.037709,             0.55691,             0.64189,             0.68166,             0.37211,            0.040922,             0.17545,            0.033086,           0.0069558,           0.0069558,           0.0069558
                 125,            0.040227,            0.081306,            0.036113,             0.58839,             0.62209,             0.68793,             0.37755,            0.038093,             0.17211,             0.03318,            0.006931,            0.006931,            0.006931
                 126,            0.042669,            0.085279,            0.036177,             0.62123,             0.63279,               0.661,             0.36639,            0.037791,             0.17331,             0.03293,           0.0069063,           0.0069063,           0.0069063
                 127,            0.041845,            0.087674,            0.036252,             0.58479,             0.61462,             0.67474,             0.34447,            0.039872,             0.17679,            0.032439,           0.0068815,           0.0068815,           0.0068815
                 128,            0.040753,            0.086908,            0.035727,             0.64047,             0.59629,              0.6585,             0.38494,            0.034671,             0.17368,            0.032487,           0.0068568,           0.0068568,           0.0068568
                 129,            0.040932,             0.09116,            0.035696,             0.59951,             0.64825,             0.66405,             0.35281,            0.039616,             0.17697,            0.032407,            0.006832,            0.006832,            0.006832
                 130,            0.040623,             0.08556,            0.035948,              0.4798,             0.63417,              0.6664,             0.35438,            0.041751,             0.17618,            0.031997,           0.0068073,           0.0068073,           0.0068073
                 131,            0.042382,            0.088795,            0.035713,             0.52991,             0.63356,             0.68347,             0.40563,            0.035266,             0.17446,             0.03169,           0.0067825,           0.0067825,           0.0067825
                 132,            0.038549,            0.085614,            0.034274,             0.57489,             0.66191,             0.70338,             0.39318,             0.03812,             0.17643,            0.031607,           0.0067577,           0.0067577,           0.0067577
                 133,             0.04027,            0.090241,            0.035424,             0.56457,             0.64545,             0.69106,             0.40007,            0.034461,             0.17434,            0.031609,            0.006733,            0.006733,            0.006733
                 134,            0.041317,            0.090987,            0.034042,               0.602,             0.63831,             0.66552,             0.37191,             0.03922,             0.18102,            0.031767,           0.0067082,           0.0067082,           0.0067082
